global-power-costs,2013-power

43.49999999999998,1.0
87.00000000000004,1.0
130.50000000000026,1.0
174.00000000000048,1.0
217.5000000000007,1.0
261.0000000000009,1.0
304.50000000000114,1.0
348.00000000000136,1.0
391.5000000000016,1.0
435.0000000000018,1.0
478.50000000000205,1.0
522.0000000000023,1.0
565.5000000000025,1.0
609.0000000000027,1.0
652.500000000003,1.0
696.0000000000032,1.0
739.5000000000034,1.0
783.0000000000036,1.0
826.5000000000039,1.0
870.0000000000041,1.0
913.5000000000043,1.0
957.0000000000045,1.0
1000.5000000000048,1.0
1044.0000000000025,1.0
1087.499999999997,1.0
1130.9999999999916,1.0
1174.4999999999861,1.0
1217.9999999999807,1.0
1261.4999999999752,1.0
1304.9999999999698,1.0
1348.4999999999643,1.0
1391.9999999999588,1.0
1435.4999999999534,1.0
1478.999999999948,1.0
1522.4999999999425,1.0
1565.999999999937,1.0
1609.4999999999316,1.0
1652.999999999926,1.0
1696.4999999999206,1.0
1739.9999999999152,1.0
1783.4999999999097,1.0
1826.9999999999043,1.0
1870.4999999998988,1.0
1913.9999999998934,1.0
1957.499999999888,1.0
2000.9999999998824,1.0
2044.499999999877,1.0
2087.9999999998718,1.0
2131.4999999998663,1.0
2174.999999999861,1.0
2218.4999999998554,1.0
2261.99999999985,1.0
2305.4999999998445,1.0
2348.999999999839,1.0
2392.4999999998336,1.0
2435.999999999828,1.0
2479.4999999998226,1.0
2522.999999999817,1.0
2566.4999999998117,1.0
2609.9999999998063,1.0
2653.499999999801,1.0
2696.9999999997954,1.0
2740.49999999979,1.0
2783.9999999997844,1.0
2827.499999999779,1.0
2870.9999999997735,1.0
2914.499999999768,1.0
2957.9999999997626,1.0
3001.499999999757,1.0
3044.9999999997517,1.0
3088.4999999997463,1.0
3131.999999999741,1.0
3175.4999999997353,1.0
3218.99999999973,1.0
3262.4999999997244,1.0
3305.999999999719,1.0
3349.4999999997135,1.0
3392.999999999708,1.0
3436.4999999997026,1.0
3479.999999999697,1.0
3523.4999999996917,1.0
3566.999999999686,1.0
3610.4999999996808,1.0
3653.9999999996753,1.0
3697.49999999967,1.0
3740.9999999996644,1.0
3784.499999999659,1.0
3827.9999999996535,1.0
3871.499999999648,1.0
3914.9999999996426,1.0
3958.499999999637,1.0
4001.9999999996317,1.0
4045.499999999626,1.0
4088.9999999996207,1.0
4132.499999999615,1.0
4175.99999999961,1.0
4219.499999999604,1.0
4262.999999999599,1.0
4306.4999999995935,1.0
4349.999999999588,1.0
4393.4999999995825,1.0
4436.999999999577,1.0
4480.499999999572,1.0
4523.999999999566,1.0
4567.499999999561,1.0
4610.999999999555,1.0
4654.49999999955,1.0
4697.999999999544,1.0
4741.499999999539,1.0
4784.999999999533,1.0
4828.499999999528,1.0
4871.9999999995225,1.0
4915.499999999517,1.0
4958.999999999512,1.0
5002.499999999506,1.0
5045.999999999501,1.0
5089.499999999495,1.0
5132.99999999949,1.0
5176.499999999484,1.0
5219.999999999479,1.0
5263.499999999473,1.0
5306.999999999468,1.0
5350.4999999994625,1.0
5393.999999999457,1.0
5437.499999999452,1.0
5480.999999999446,1.0
5524.499999999441,1.0
5567.999999999435,1.0
5611.49999999943,1.0
5654.999999999424,1.0
5698.499999999419,1.0
5741.999999999413,1.0
5785.499999999408,1.0
5828.9999999994025,1.0
5872.499999999397,1.0
5915.999999999392,1.0
5959.499999999386,1.0
6002.999999999381,1.0
6046.499999999375,1.0
6089.99999999937,1.0
6133.499999999364,1.0
6176.999999999359,1.0
6220.499999999353,1.0
6263.999999999348,1.0
6307.499999999342,1.0
6350.999999999337,1.0
6394.4999999993315,1.0
6437.999999999326,1.0
6481.499999999321,1.0
6524.999999999315,1.0
6568.49999999931,1.0
6611.999999999304,1.0
6655.499999999299,1.0
6698.999999999293,1.0
6742.499999999288,1.0
6785.999999999282,1.0
6829.499999999277,1.0
6872.9999999992715,1.0
6916.499999999266,1.0
6959.999999999261,1.0
7003.499999999255,1.0
7046.99999999925,1.0
7090.499999999244,1.0
7133.999999999239,1.0
7177.499999999233,1.0
7220.999999999228,1.0
7264.499999999222,1.0
7307.999999999217,1.0
7351.4999999992115,1.0
7394.999999999206,1.0
7438.499999999201,1.0
7481.999999999195,1.0
7525.49999999919,1.0
7568.999999999184,1.0
7612.499999999179,1.0
7655.999999999173,1.0
7699.499999999168,1.0
7742.999999999162,1.0
7786.499999999157,1.0
7829.999999999151,1.0
7873.499999999146,1.0
7916.9999999991405,1.0
7960.499999999135,1.0
8003.99999999913,1.0
8047.499999999124,1.0
8090.999999999119,1.0
8134.499999999113,1.0
8177.999999999108,1.0
8221.499999999132,1.0
8264.999999999172,1.0
8308.499999999212,1.0
8351.999999999252,1.0
8395.499999999292,1.0
8438.999999999332,1.0
8482.499999999372,1.0
8525.999999999412,1.0
8569.499999999452,1.0
8612.999999999493,1.0
8656.499999999533,1.0
8699.999999999573,1.0
8743.499999999613,1.0
8786.999999999653,1.0
8830.499999999693,1.0
8873.999999999733,1.0
8917.499999999773,1.0
8960.999999999813,1.0
9004.499999999853,1.0
9047.999999999893,1.0
9091.499999999933,1.0
9134.999999999973,1.0
9178.500000000013,1.0
9222.000000000053,1.0
9265.500000000093,1.0
9309.000000000133,1.0
9352.500000000173,1.0
9396.000000000213,1.0
9439.500000000253,1.0
9483.000000000293,1.0
9526.500000000333,1.0
9570.000000000373,1.0
9613.500000000413,1.0
9657.000000000453,1.0
9700.500000000493,1.0
9744.000000000533,1.0
9787.500000000573,1.0
9831.000000000613,1.0
9874.500000000653,1.0
9918.000000000693,1.0
9961.500000000733,1.0
10005.000000000773,1.0
10048.500000000813,1.0
10092.000000000853,1.0
10135.500000000893,1.0
10179.000000000933,1.0
10222.500000000973,1.0
10266.000000001013,1.0
10309.500000001053,1.0
10353.000000001093,1.0
10396.500000001133,1.0
10440.000000001173,1.0
10483.500000001213,1.0
10527.000000001253,1.0
10570.500000001293,1.0
10614.000000001333,1.0
10657.500000001373,1.0
10701.000000001413,1.0
10744.500000001453,1.0
10788.000000001493,1.0
10831.500000001533,1.0
10875.000000001573,1.0
10918.500000001613,1.0
10962.000000001653,1.0
11005.500000001693,1.0
11049.000000001733,1.0
11092.500000001774,1.0
11136.000000001814,1.0
11179.500000001854,1.0
11223.000000001894,1.0
11266.500000001934,1.0
11310.000000001974,1.0
11353.500000002014,1.0
11397.000000002054,1.0
11440.500000002094,1.0
11484.000000002134,1.0
11527.500000002174,1.0
11571.000000002214,1.0
11614.500000002254,1.0
11658.000000002294,1.0
11701.500000002334,1.0
11745.000000002374,1.0
11788.500000002414,1.0
11832.000000002454,1.0
11875.500000002494,1.0
11919.000000002534,1.0
11962.500000002574,1.0
12006.000000002614,1.0
12049.500000002654,1.0
12093.000000002694,1.0
12136.500000002734,1.0
12180.000000002774,1.0
12223.500000002814,1.0
12267.000000002854,1.0
12310.500000002894,1.0
12354.000000002934,1.0
12397.500000002974,1.0
12441.000000003014,1.0
12484.500000003054,1.0
12528.000000003094,1.0
12571.500000003134,1.0
12615.000000003174,1.0
12658.500000003214,1.0
12702.000000003254,1.0
12745.500000003294,1.0
12789.000000003334,1.0
12832.500000003374,1.0
12876.000000003414,1.0
12919.500000003454,1.0
12963.000000003494,1.0
13006.500000003534,1.0
13050.000000003574,1.0
13093.500000003614,1.0
13137.000000003654,1.0
13180.500000003694,1.0
13224.000000003734,1.0
13267.500000003774,1.0
13311.000000003814,1.0
13354.500000003854,1.0
13398.000000003894,1.0
13441.500000003934,1.0
13485.000000003974,1.0
13528.500000004015,1.0
13572.000000004055,1.0
13615.500000004095,1.0
13659.000000004135,1.0
13702.500000004175,1.0
13746.000000004215,1.0
13789.500000004255,1.0
13833.000000004295,1.0
13876.500000004335,1.0
13920.000000004375,1.0
13963.500000004415,1.0
14007.000000004455,1.0
14050.500000004495,1.0
14094.000000004535,1.0
14137.500000004575,1.0
14181.000000004615,1.0
14224.500000004655,1.0
14268.000000004695,1.0
14311.500000004735,1.0
14355.000000004775,1.0
14398.500000004815,1.0
14442.000000004855,1.0
14485.500000004895,1.0
14529.000000004935,1.0
14572.500000004975,1.0
14616.000000005015,1.0
14659.500000005055,1.0
14703.000000005095,1.0
14746.500000005135,1.0
14790.000000005175,1.0
14833.500000005215,1.0
14877.000000005255,1.0
14920.500000005295,1.0
14964.000000005335,1.0
15007.500000005375,1.0
15051.000000005415,1.0
15094.500000005455,1.0
15138.000000005495,1.0
15181.500000005535,1.0
15225.000000005575,1.0
15268.500000005615,1.0
15312.000000005655,1.0
15355.500000005695,1.0
15399.000000005735,1.0
15442.500000005775,1.0
15486.000000005815,1.0
15529.500000005855,1.0
15573.000000005895,1.0
15616.500000005935,1.0
15660.000000005975,1.0
15703.500000006015,1.0
15747.000000006055,1.0
15790.500000006095,1.0
15834.000000006135,1.0
15877.500000006175,1.0
15921.000000006215,1.0
15964.500000006256,1.0
16008.000000006296,1.0
16051.500000006336,1.0
16095.000000006376,1.0
16138.500000006416,1.0
16182.000000006456,1.0
16225.500000006496,1.0
16269.000000006536,1.0
16312.500000006576,1.0
16356.000000006616,1.0
16399.500000006625,1.0
16443.000000006574,1.0
16486.500000006523,1.0
16530.000000006472,1.0
16573.50000000642,1.0
16617.00000000637,1.0
16660.50000000632,1.0
16704.00000000627,1.0
16747.500000006217,1.0
16791.000000006166,1.0
16834.500000006115,1.0
16878.000000006065,1.0
16921.500000006014,1.0
16965.000000005963,1.0
17008.50000000591,1.0
17052.00000000586,1.0
17095.50000000581,1.0
17139.00000000576,1.0
17182.500000005708,1.0
17226.000000005657,1.0
17269.500000005606,1.0
17313.000000005555,1.0
17356.500000005504,1.0
17400.000000005453,1.0
17443.500000005402,1.0
17487.00000000535,1.0
17530.5000000053,1.0
17574.00000000525,1.0
17617.5000000052,1.0
17661.000000005148,1.0
17704.500000005097,1.0
17748.000000005046,1.0
17791.500000004995,1.0
17835.000000004944,1.0
17878.500000004893,1.0
17922.000000004842,1.0
17965.50000000479,1.0
18009.00000000474,1.0
18052.50000000469,1.0
18096.00000000464,1.0
18139.500000004587,1.0
18183.000000004537,1.0
18226.500000004486,1.0
18270.000000004435,1.0
18313.500000004384,1.0
18357.000000004333,1.0
18400.500000004282,1.0
18444.00000000423,1.0
18487.50000000418,1.0
18531.00000000413,1.0
18574.500000004078,1.0
18618.000000004027,1.0
18661.500000003976,1.0
18705.000000003925,1.0
18748.500000003874,1.0
18792.000000003824,1.0
18835.500000003773,1.0
18879.00000000372,1.0
18922.50000000367,1.0
18966.00000000362,1.0
19009.50000000357,1.0
19053.000000003518,1.0
19096.500000003467,1.0
19140.000000003416,1.0
19183.500000003365,1.0
19227.000000003314,1.0
19270.500000003263,1.0
19314.000000003212,1.0
19357.50000000316,1.0
19401.00000000311,1.0
19444.50000000306,1.0
19488.00000000301,1.0
19531.500000002958,1.0
19575.000000002907,1.0
19618.500000002856,1.0
19662.000000002805,1.0
19705.500000002754,1.0
19749.000000002703,1.0
19792.500000002652,1.0
19836.0000000026,1.0
19879.50000000255,1.0
19923.0000000025,1.0
19966.50000000245,1.0
20010.000000002397,1.0
20053.500000002346,1.0
20097.000000002296,1.0
20140.500000002245,1.0
20184.000000002194,1.0
20227.500000002143,1.0
20271.000000002092,1.0
20314.50000000204,1.0
20358.00000000199,1.0
20401.50000000194,1.0
20445.000000001888,1.0
20488.500000001837,1.0
20532.000000001786,1.0
20575.500000001735,1.0
20619.000000001684,1.0
20662.500000001633,1.0
20706.000000001583,1.0
20749.50000000153,1.0
20793.00000000148,1.0
20836.50000000143,1.0
20880.00000000138,1.0
20923.500000001328,1.0
20967.000000001277,1.0
21010.500000001226,1.0
21054.000000001175,1.0
21097.500000001124,1.0
21141.000000001073,1.0
21184.500000001022,1.0
21228.00000000097,1.0
21271.50000000092,1.0
21315.00000000087,1.0
21358.50000000082,1.0
21402.000000000768,1.0
21445.500000000717,1.0
21489.000000000666,1.0
21532.500000000615,1.0
21576.000000000564,1.0
21619.500000000513,1.0
21663.000000000462,1.0
21706.50000000041,1.0
21750.00000000036,1.0
21793.50000000031,1.0
21837.00000000026,1.0
21880.500000000207,1.0
21924.000000000156,1.0
21967.500000000106,1.0
22011.000000000055,1.0
22054.500000000004,1.0
22097.999999999953,1.0
22141.4999999999,1.0
22184.99999999985,1.0
22228.4999999998,1.0
22271.99999999975,1.0
22315.499999999698,1.0
22358.999999999647,1.0
22402.499999999596,1.0
22445.999999999545,1.0
22489.499999999494,1.0
22532.999999999443,1.0
22576.499999999392,1.0
22619.99999999934,1.0
22663.49999999929,1.0
22706.99999999924,1.0
22750.49999999919,1.0
22793.999999999138,1.0
22837.499999999087,1.0
22880.999999999036,1.0
22924.499999998985,1.0
22967.999999998934,1.0
23011.499999998883,1.0
23054.999999998832,1.0
23098.49999999878,1.0
23141.99999999873,1.0
23185.49999999868,1.0
23228.99999999863,1.0
23272.499999998578,1.0
23315.999999998527,1.0
23359.499999998476,1.0
